query_index,num_positives,ru_top1,ru_correct@1,ru_first_positive_rank,ru_positive_negative_margin,aligned_semantic_top1,aligned_semantic_correct@1,aligned_semantic_first_positive_rank,aligned_semantic_positive_negative_margin,wrong_layout_top1,wrong_layout_correct@1,wrong_layout_first_positive_rank,wrong_layout_positive_negative_margin,shuffled_teacher_top1,shuffled_teacher_correct@1,shuffled_teacher_first_positive_rank,shuffled_teacher_positive_negative_margin
22,15,561,1,1,0.2863914370536804,2643,0,7,-0.05362886190414429,7732,0,456,-0.20633909106254578,16057,0,5,-0.030517995357513428
23,23,588,1,1,0.2477169632911682,612,1,1,0.01447439193725586,12912,0,797,-0.30871275067329407,588,1,1,0.169139564037323
24,23,711,1,1,0.12027424573898315,602,0,8,-0.035643935203552246,4595,0,716,-0.20424345135688782,637,0,3,-0.007817983627319336
25,3,724,1,1,0.11575141549110413,725,1,1,0.15752273797988892,17987,0,2072,-0.41408467292785645,725,1,1,0.06483721733093262
26,2,7506,0,2,-0.006703689694404602,2425,0,2856,-0.3873342275619507,11851,0,10052,-0.5978929996490479,11182,0,1630,-0.41548675298690796
27,10,736,1,1,0.03125099837779999,15750,0,2,-0.03102785348892212,15868,0,4881,-0.8099641799926758,15749,0,3,-0.01889592409133911
28,10,758,1,1,0.1075173020362854,759,1,1,0.10471129417419434,3447,0,311,-0.2978324890136719,759,1,1,0.2786882817745209
29,9,773,1,1,0.26951485872268677,774,1,1,0.11145579814910889,5253,0,1235,-0.4662163257598877,774,1,1,0.16212481260299683
30,3,794,1,1,0.005702570080757141,17721,0,68,-0.18840128183364868,4184,0,10632,-0.6293256282806396,17820,0,17,-0.14528527855873108
31,18,844,1,1,0.16220885515213013,844,1,1,0.06807148456573486,6075,0,3008,-0.4528997242450714,845,1,1,0.12498322129249573
32,17,885,1,1,0.34083661437034607,885,1,1,0.07961481809616089,11458,0,386,-0.2731991410255432,885,1,1,0.18686646223068237
33,12,979,1,1,0.1382770538330078,968,0,2,-0.028043925762176514,14016,0,1200,-0.5246639847755432,968,0,2,-0.0019099116325378418
34,9,11636,0,184,-0.09623178094625473,9818,0,4181,-0.4652697741985321,2296,0,1712,-0.35151293873786926,9818,0,2034,-0.33365947008132935
35,5,1011,1,1,0.054804712533950806,1012,1,1,0.042945146560668945,9290,0,3860,-0.49803537130355835,1012,1,1,0.01827627420425415
36,6,1028,1,1,0.1407400667667389,1002,0,4,-0.18067538738250732,7282,0,327,-0.20840740203857422,1002,0,5,-0.19252964854240417
37,8,1041,1,1,0.26060110330581665,18010,0,42,-0.09243962168693542,11584,0,3866,-0.5532105565071106,6977,0,8,-0.061593711376190186
38,5,1048,1,1,0.05215822160243988,7634,0,1223,-0.3424723744392395,14425,0,4895,-0.5907338857650757,7634,0,1932,-0.36552178859710693
39,3,1058,1,1,0.015440016984939575,17125,0,210,-0.22612380981445312,2665,0,8563,-0.6522895693778992,17125,0,115,-0.303790807723999
40,3,1065,1,1,0.12501013278961182,1065,1,1,0.04013174772262573,17628,0,932,-0.4095907509326935,1066,1,1,0.1048051118850708
41,13,1072,1,1,0.23169860243797302,1072,1,1,0.2495848536491394,18002,0,343,-0.38335084915161133,1072,1,1,0.04014506936073303
42,8,1117,1,1,0.24066859483718872,546,0,10,-0.08502748608589172,789,0,324,-0.2879401445388794,1121,0,3,-0.006546437740325928
43,5,1121,1,1,0.27184563875198364,11426,0,2,-0.002886354923248291,18661,0,7546,-0.5590134263038635,11345,0,15,-0.06668072938919067
44,4,1127,1,1,0.12243551015853882,1127,1,1,0.02085787057876587,1445,0,4899,-0.46941253542900085,14677,0,20,-0.06091931462287903
45,7,1135,1,1,0.14400440454483032,8514,0,25,-0.11377206444740295,5869,0,95,-0.3572220206260681,14318,0,12,-0.057676345109939575
46,8,1141,1,1,0.10660770535469055,1152,1,1,0.018618345260620117,16084,0,5392,-0.4061874747276306,1151,1,1,0.025120139122009277
47,11,1160,1,1,0.13702431321144104,1159,1,1,0.06778228282928467,1083,0,129,-0.3414877653121948,1159,1,1,0.08819758892059326
48,10,1181,1,1,0.4790242910385132,1181,1,1,0.1931525468826294,3070,0,796,-0.33856266736984253,1181,1,1,0.2810167074203491
49,9,455,0,2,-0.003952741622924805,394,0,28,-0.283879816532135,10996,0,535,-0.4077310562133789,396,0,59,-0.18601611256599426
50,4,1220,1,1,0.039817363023757935,1887,0,9,-0.047605156898498535,6201,0,6912,-0.5637472867965698,2539,0,67,-0.14969682693481445
51,3,1228,1,1,0.13838255405426025,15992,0,2,-0.0027147531509399414,18335,0,6203,-0.3759888708591461,15991,0,8,-0.13435858488082886
52,13,1258,1,1,0.07727786898612976,1246,1,1,0.008641600608825684,11304,0,1059,-0.2855450510978699,99,0,3,-0.02090001106262207
53,19,1303,1,1,0.13484439253807068,1303,1,1,0.229434072971344,3094,0,1563,-0.5521646738052368,1303,1,1,0.07312372326850891
54,6,2409,0,22,-0.07260057330131531,12099,0,980,-0.3502926230430603,207,0,942,-0.27309462428092957,12136,0,1228,-0.393665611743927
55,13,1367,1,1,0.3317749500274658,1367,1,1,0.34480783343315125,3300,0,1931,-0.2469051331281662,1367,1,1,0.20341366529464722
56,6,1377,1,1,0.005333036184310913,2021,0,313,-0.286099910736084,17072,0,4612,-0.38533085584640503,2037,0,816,-0.26551786065101624
57,8,1410,1,1,0.2831060588359833,6284,0,3,-0.0010094046592712402,2835,0,5124,-0.5197049379348755,5797,0,2,-0.005960643291473389
58,9,1427,1,1,0.14915722608566284,1427,1,1,0.028054893016815186,2240,0,4517,-0.4798102378845215,11940,0,15,-0.13660797476768494
59,3,1431,1,1,0.2219451367855072,1432,1,1,0.011284828186035156,15425,0,2049,-0.4001148045063019,1432,1,1,0.035289645195007324
60,16,1439,1,1,0.460010826587677,1439,1,1,0.17452633380889893,5533,0,208,-0.25236499309539795,1439,1,1,0.130062997341156
61,5,1455,1,1,0.14211368560791016,12446,0,2,-0.011033177375793457,12829,0,673,-0.3378390967845917,851,0,6,-0.04444262385368347
62,21,1501,1,1,0.28440943360328674,1501,1,1,0.08928793668746948,1158,0,23,-0.051752448081970215,1501,1,1,0.13897418975830078
63,14,1613,1,1,0.17248302698135376,10404,0,31,-0.1391790509223938,10583,0,1343,-0.5436415672302246,1583,0,13,-0.09584766626358032
64,25,1625,1,1,0.07512167096138,1632,1,1,0.1598597764968872,1294,0,2833,-0.4731201231479645,1632,1,1,0.08214092254638672
65,26,1659,1,1,0.16285473108291626,1651,1,1,0.1695253849029541,8292,0,803,-0.5156384110450745,1651,1,1,0.12797778844833374
66,6,1675,1,1,0.05697058141231537,4208,0,229,-0.2173093557357788,9451,0,4732,-0.606753945350647,1722,0,1062,-0.2960624694824219
67,6,1687,1,1,0.12493382394313812,1686,1,1,0.18572989106178284,7673,0,3235,-0.7178267240524292,13624,0,6,-0.02206060290336609
68,3,1692,1,1,0.12458387017250061,1692,1,1,0.06859469413757324,7721,0,742,-0.4235661029815674,1692,1,1,0.10715320706367493
69,8,1696,1,1,0.23322361707687378,1702,1,1,0.05072256922721863,674,0,3189,-0.5592314004898071,1702,1,1,0.023600369691848755
70,11,1720,1,1,0.24201563000679016,1128,0,2,-0.03264671564102173,18335,0,1134,-0.33035993576049805,1128,0,4,-0.0296708345413208
71,17,1737,1,1,0.07385514676570892,1700,0,20,-0.2175683081150055,2975,0,819,-0.3653801679611206,5680,0,6,-0.0469379723072052
72,11,1770,1,1,0.20163726806640625,404,0,12,-0.06533724069595337,8932,0,6,-0.16894659399986267,401,0,10,-0.061147600412368774
73,12,1783,1,1,0.15661141276359558,13908,0,238,-0.19587373733520508,8593,0,1231,-0.33198025822639465,7240,0,323,-0.21646589040756226
74,5,1797,1,1,0.27057361602783203,1798,1,1,0.06018561124801636,615,0,6178,-0.30800339579582214,1798,1,1,0.04839271306991577
75,8,1811,1,1,0.3503113389015198,1813,1,1,0.18761849403381348,262,0,2325,-0.42093905806541443,1813,1,1,0.2518470287322998
76,11,1821,1,1,0.10008296370506287,1821,1,1,0.012044847011566162,4011,0,3341,-0.40907299518585205,15665,0,2,-0.059708863496780396
77,9,1845,1,1,0.11021402478218079,1855,1,1,0.06368458271026611,5465,0,2333,-0.7287092208862305,1855,1,1,0.11191457509994507
78,6,1859,1,1,0.30003997683525085,1859,1,1,0.09356528520584106,12173,0,2113,-0.49871447682380676,1860,1,1,0.0795561671257019
79,38,1911,1,1,0.10916280746459961,10589,0,5,-0.046971917152404785,13763,0,580,-0.3119521737098694,10012,0,7,-0.08517897129058838
80,38,1963,1,1,0.06313198804855347,1954,1,1,0.16804736852645874,17272,0,1289,-0.21978048980236053,1977,1,1,0.09818696975708008
81,7,1986,1,1,0.2804516553878784,1987,1,1,0.0293581485748291,5541,0,1177,-0.2570735812187195,9144,0,41,-0.0729062557220459
82,7,1991,1,1,0.2963244915008545,1221,0,267,-0.20581260323524475,17843,0,805,-0.3732588291168213,11836,0,188,-0.1564217060804367
83,8,1996,1,1,0.059764936566352844,12150,0,1522,-0.35213565826416016,10816,0,312,-0.18485739827156067,18085,0,1329,-0.30638331174850464
84,4,2006,1,1,0.1342766284942627,497,0,8,-0.07210785150527954,6928,0,795,-0.40262570977211,16259,0,72,-0.1391950249671936
85,15,2032,1,1,0.3607821762561798,2032,1,1,0.00882643461227417,3997,0,1366,-0.6682429313659668,2011,0,14,-0.11534053087234497
86,12,2058,1,1,0.0930275171995163,16691,0,2,-0.0007597506046295166,16669,0,257,-0.3919018805027008,17148,0,425,-0.17755326628684998
87,10,2070,1,1,0.07807284593582153,12516,0,49,-0.15731406211853027,3281,0,3751,-0.5053146481513977,10695,0,12,-0.04866611957550049
88,5,2078,1,1,0.20547357201576233,2078,1,1,0.11327829957008362,480,0,1865,-0.4095529317855835,2078,1,1,0.06890332698822021
89,24,2086,1,1,0.02149735391139984,12380,0,24,-0.17160582542419434,14469,0,7,-0.09775760769844055,1742,0,31,-0.09750998020172119
90,4,2138,1,1,0.07415680587291718,11863,0,49,-0.1263420581817627,192,0,270,-0.25186601281166077,2459,0,66,-0.1336740255355835
91,5,2142,1,1,0.3491339385509491,999,0,22,-0.07783260941505432,14430,0,7656,-0.6081830859184265,2142,1,1,0.07030442357063293
92,6,2150,1,1,0.22295382618904114,12003,0,2,-0.0016689896583557129,7688,0,2820,-0.4274553954601288,2042,0,122,-0.17344966530799866
93,6,2153,1,1,0.1162901222705841,365,0,41,-0.11329230666160583,7561,0,1548,-0.2892061769962311,2154,1,1,0.005231201648712158
94,6,2162,1,1,0.1831909418106079,2162,1,1,0.0851864218711853,1474,0,1854,-0.36730462312698364,2162,1,1,0.038021624088287354
95,12,2174,1,1,0.07786226272583008,11041,0,9,-0.10841739177703857,5594,0,1627,-0.5237377882003784,15595,0,4,-0.07295018434524536
96,11,2253,1,1,0.16570058465003967,2206,1,1,0.03524821996688843,4108,0,286,-0.19325566291809082,2317,0,3,-0.007182657718658447
97,23,2308,1,1,0.10137811303138733,2308,1,1,0.1026044487953186,4703,0,1326,-0.4093770980834961,2308,1,1,0.06375908851623535
98,8,14167,0,3,-0.013858005404472351,6588,0,711,-0.28808584809303284,9408,0,1850,-0.29280489683151245,739,0,993,-0.3265399932861328
99,3,2395,1,1,0.30585697293281555,2395,1,1,0.3050798177719116,4114,0,13774,-0.6226934790611267,2395,1,1,0.25557655096054077
100,21,2400,1,1,0.13035926222801208,2427,1,1,0.08477938175201416,143,0,685,-0.24713054299354553,2401,1,1,0.035540997982025146
101,32,2459,1,1,0.22888153791427612,2452,1,1,0.17355877161026,4716,0,190,-0.40445321798324585,2452,1,1,0.23487812280654907
102,11,2476,1,1,0.04303693771362305,11449,0,205,-0.2241111397743225,7468,0,2232,-0.42501771450042725,11404,0,122,-0.21746748685836792
103,6,2489,1,1,0.19831964373588562,12288,0,198,-0.16859889030456543,18068,0,4618,-0.44128966331481934,12332,0,306,-0.29388874769210815
104,4,2504,1,1,0.10440552234649658,2504,1,1,0.02812671661376953,16342,0,4073,-0.47228196263313293,2504,1,1,0.001266181468963623
105,28,2508,1,1,0.1654958724975586,2516,1,1,0.046133458614349365,11032,0,1687,-0.5164743661880493,2508,1,1,0.16497895121574402
106,2,2542,1,1,0.15844818949699402,3143,0,6,-0.02702394127845764,3857,0,5352,-0.4818224310874939,2542,1,1,0.07627910375595093
107,8,2558,1,1,0.0312521755695343,2558,1,1,0.05734461545944214,11763,0,67,-0.16775929927825928,2552,1,1,0.03694915771484375
108,28,2582,1,1,0.4333617687225342,2582,1,1,0.11308157444000244,7080,0,305,-0.2564542293548584,8545,0,7,-0.05124363303184509
109,11,2591,1,1,0.277147501707077,5545,0,4,-0.09392386674880981,18191,0,1319,-0.23928752541542053,2591,1,1,0.02125638723373413
110,19,2611,1,1,0.4100050628185272,2611,1,1,0.2699548602104187,18547,0,970,-0.23982936143875122,2611,1,1,0.2529396414756775
111,9,2632,1,1,0.2406468540430069,2628,0,2,-0.0371624231338501,12193,0,1289,-0.3193570375442505,2628,0,11,-0.11598643660545349
112,4,2642,1,1,0.2202942967414856,2643,1,1,0.05587810277938843,18542,0,5241,-0.613577127456665,1796,0,15,-0.09310516715049744
113,6,2662,1,1,0.24651700258255005,2662,1,1,0.010328114032745361,4519,0,1825,-0.4080673158168793,2662,1,1,0.046828389167785645
114,3,2670,1,1,0.2019147276878357,13961,0,7,-0.040735483169555664,5516,0,2609,-0.4771394729614258,6262,0,63,-0.11514890193939209
115,7,2692,1,1,0.20793649554252625,2681,1,1,0.0026931166648864746,6045,0,1589,-0.31940484046936035,2682,1,1,0.09499633312225342
116,24,2753,1,1,0.11858612298965454,2753,1,1,0.06041586399078369,3903,0,1213,-0.3590851426124573,2753,1,1,0.08260279893875122
117,25,2732,1,1,0.005439653992652893,3009,0,442,-0.2954843044281006,4208,0,1492,-0.5396759510040283,2713,0,31,-0.22465026378631592
118,27,2781,1,1,0.24271640181541443,2781,1,1,0.20990943908691406,7468,0,207,-0.3639487028121948,2781,1,1,0.15137940645217896
119,18,2809,1,1,0.44337719678878784,2808,1,1,0.1687183976173401,9909,0,35,-0.3253316581249237,2808,1,1,0.21945226192474365
120,29,2835,1,1,0.2628103494644165,5004,0,7,-0.025796711444854736,11727,0,596,-0.2538315951824188,11854,0,2,-0.0038595199584960938
121,27,2841,1,1,0.1738588511943817,2841,1,1,0.07276904582977295,650,0,798,-0.3644670248031616,2841,1,1,0.0940447449684143
122,7,2863,1,1,0.0399949848651886,2865,1,1,0.12330734729766846,17549,0,2122,-0.44744181632995605,2863,1,1,0.009814947843551636
123,4,2869,1,1,0.05521167814731598,10488,0,5,-0.049432992935180664,5846,0,4984,-0.4497506320476532,18586,0,24,-0.09478604793548584
124,10,2878,1,1,0.3266769349575043,2876,1,1,0.0007811188697814941,18079,0,2661,-0.5186764001846313,2876,1,1,0.031848132610321045
125,11,1802,0,4874,-0.15013468265533447,13726,0,8123,-0.5241280198097229,14760,0,2442,-0.4148229956626892,18031,0,7559,-0.49923789501190186
126,7,6090,0,325,-0.12409182637929916,6096,0,2459,-0.3380439281463623,5106,0,2407,-0.5468558669090271,8041,0,583,-0.23408779501914978
127,10,2907,1,1,0.2778880000114441,2908,1,1,0.16391420364379883,18769,0,2569,-0.4401102066040039,2904,1,1,0.010995179414749146
128,23,2913,1,1,0.4447176158428192,9377,0,3,-0.013890564441680908,11226,0,1343,-0.3514097332954407,7172,0,10,-0.08873409032821655
129,5,2941,1,1,0.13804158568382263,10954,0,4,-0.02195572853088379,10881,0,6368,-0.6448313593864441,2939,1,1,0.055526554584503174
130,15,2955,1,1,0.22447216510772705,9382,0,39,-0.14012432098388672,11279,0,2598,-0.28635266423225403,7173,0,6,-0.06045520305633545
131,10,2964,1,1,0.0897832065820694,5435,0,417,-0.2632141709327698,10963,0,114,-0.19407154619693756,816,0,256,-0.21837875247001648
132,7,2981,1,1,0.3077315390110016,7752,0,3,-0.05159318447113037,5715,0,297,-0.227207213640213,7044,0,2,-0.01920372247695923
133,13,3096,1,1,0.06487870216369629,3089,0,2,-0.016597747802734375,7890,0,1577,-0.3277425765991211,3094,0,3,-0.006447851657867432
134,15,3120,1,1,0.12426888942718506,3157,0,11,-0.1407882273197174,15933,0,2964,-0.4671505093574524,3157,0,7,-0.05440667271614075
135,13,3124,1,1,0.1904532015323639,3124,1,1,0.06579744815826416,2085,0,1333,-0.4431472420692444,3124,1,1,0.015412569046020508
136,11,3155,1,1,0.1765652894973755,16476,0,2,-0.07261425256729126,9906,0,1126,-0.5417046546936035,9897,0,3,-0.0347464382648468
137,5,3185,1,1,0.057916224002838135,10806,0,2172,-0.30306363105773926,3842,0,8921,-0.6937160491943359,9631,0,1112,-0.26007217168807983
138,4,3197,1,1,0.08717888593673706,10267,0,11,-0.039119839668273926,8100,0,6129,-0.6742299795150757,9040,0,14,-0.0988839864730835
139,6,3205,1,1,0.11040249466896057,11986,0,28,-0.15407311916351318,12109,0,10603,-0.6243855357170105,11985,0,68,-0.19542938470840454
140,8,3210,1,1,0.189001202583313,9277,0,7,-0.03722643852233887,8349,0,1735,-0.3724553883075714,10744,0,2,-0.03489738702774048
141,6,3218,1,1,0.14816302061080933,3218,1,1,0.12575513124465942,13451,0,2913,-0.34834563732147217,3218,1,1,0.09710705280303955
142,10,3265,1,1,0.43257758021354675,3265,1,1,0.18908196687698364,12822,0,589,-0.2735694944858551,3265,1,1,0.13840168714523315
143,13,3342,1,1,0.18331962823867798,3310,1,1,0.07467782497406006,5719,0,1056,-0.432088702917099,3342,1,1,0.011347055435180664
144,3,3359,1,1,0.037785500288009644,8624,0,2,-0.020822346210479736,13291,0,8621,-0.38059040904045105,2492,0,116,-0.22042560577392578
145,5,3365,1,1,0.0023404359817504883,3840,0,192,-0.3047015964984894,15321,0,5638,-0.4384780526161194,3368,1,1,0.005834698677062988
146,9,3410,1,1,0.1940855085849762,3386,1,1,0.02936375141143799,4085,0,379,-0.38977158069610596,3386,1,1,0.00601649284362793
147,12,3436,1,1,0.19029639661312103,3424,1,1,0.06799030303955078,9703,0,388,-0.46991947293281555,3424,1,1,0.05870342254638672
148,12,4020,0,54,-0.0850047916173935,4023,0,2192,-0.3814515769481659,10841,0,4558,-0.3842288553714752,4025,0,1300,-0.4357215464115143
149,5,3453,1,1,0.23292739689350128,10149,0,2,-0.009990453720092773,2379,0,3916,-0.49702900648117065,3453,1,1,0.03804531693458557
150,5,3483,1,1,0.0058209896087646484,7891,0,69,-0.1698591113090515,2641,0,3169,-0.5666272640228271,9296,0,28,-0.121238112449646
151,8,1112,0,5,-0.006376370787620544,11401,0,2378,-0.4527583420276642,16542,0,487,-0.3420872986316681,9947,0,955,-0.4287550747394562
152,32,3543,1,1,0.11899048089981079,3568,1,1,0.0728415846824646,9877,0,104,-0.11528807878494263,3569,1,1,0.015827417373657227
153,4,3585,1,1,0.04652714729309082,1488,0,55,-0.09919288754463196,2859,0,3468,-0.5497905015945435,7533,0,105,-0.17304259538650513
154,2,3592,1,1,0.1809987872838974,10241,0,1831,-0.38329339027404785,6451,0,6489,-0.3771562874317169,10738,0,297,-0.26815780997276306
155,6,3601,1,1,0.23052436113357544,16531,0,52,-0.14866074919700623,10522,0,4279,-0.44424158334732056,7890,0,1697,-0.33433300256729126
156,14,3608,1,1,0.5086530447006226,3609,1,1,0.19189780950546265,18005,0,1369,-0.40201854705810547,3608,1,1,0.13141819834709167
157,14,3628,1,1,0.009714186191558838,3629,0,2,-0.038849711418151855,12232,0,2364,-0.3973535895347595,11482,0,3,-0.0666351318359375
158,23,3672,1,1,0.1818542778491974,3415,0,64,-0.1929282546043396,12512,0,257,-0.22044116258621216,6264,0,342,-0.27538415789604187
159,6,3692,1,1,0.2645154297351837,3692,1,1,0.036081790924072266,2421,0,2579,-0.4160420894622803,3691,1,1,0.12011539936065674
160,11,3724,1,1,0.13931840658187866,3724,1,1,0.17022132873535156,11716,0,1825,-0.5027986168861389,3724,1,1,0.1581423282623291
161,15,3741,1,1,0.23715293407440186,3741,1,1,0.034319937229156494,10781,0,161,-0.34681493043899536,3743,1,1,0.014345049858093262
162,10,3824,1,1,0.3112105429172516,3824,1,1,0.1079174280166626,16827,0,559,-0.34597450494766235,3825,1,1,0.10626733303070068
163,3,3864,1,1,0.012136295437812805,3837,0,46,-0.1341385543346405,10851,0,4120,-0.5024401545524597,3758,0,715,-0.34726059436798096
164,8,3871,1,1,0.028989002108573914,13659,0,630,-0.25191259384155273,1978,0,672,-0.3423268795013428,16535,0,730,-0.24650615453720093
165,6,3927,0,65,-0.11775948107242584,2789,0,3099,-0.3835635185241699,13494,0,1681,-0.483409583568573,13115,0,2890,-0.3006460964679718
166,5,3912,1,1,0.16764704883098602,3915,0,4,-0.05620843172073364,13643,0,10459,-0.4867359399795532,11696,0,18,-0.10186001658439636
167,9,3933,1,1,0.09116384387016296,14339,0,45,-0.15154993534088135,15858,0,651,-0.2389412820339203,18031,0,78,-0.16260814666748047
168,9,3951,1,1,0.03404554724693298,3950,1,1,0.06447261571884155,17371,0,190,-0.47705602645874023,3951,1,1,0.177179217338562
169,12,3960,1,1,0.14665654301643372,3958,1,1,0.036666274070739746,5536,0,713,-0.32635197043418884,2430,0,5,-0.06993317604064941
170,9,3969,1,1,0.1281910538673401,3969,1,1,0.14387178421020508,14131,0,4414,-0.593665361404419,3969,1,1,0.07465746998786926
171,3,3976,1,1,0.44422608613967896,3976,1,1,0.19748836755752563,7065,0,5885,-0.4377829432487488,3976,1,1,0.06715139746665955
172,3,3982,0,2,-0.02085283398628235,9689,0,714,-0.3213980793952942,4553,0,2535,-0.3428781032562256,330,0,436,-0.24498577415943146
173,7,3997,1,1,0.10476744174957275,2128,0,5,-0.02970254421234131,3490,0,7027,-0.48428407311439514,17051,0,3,-0.002665907144546509
174,10,4012,1,1,0.15563876926898956,8200,0,14,-0.06782633066177368,3806,0,659,-0.23551201820373535,4604,0,3,-0.026179224252700806
175,23,4032,1,1,0.12024962902069092,4032,1,1,0.048015296459198,7164,0,27,-0.15739673376083374,4042,0,5,-0.06747043132781982
176,23,4113,1,1,0.13330501317977905,4114,1,1,0.08889633417129517,17404,0,142,-0.23291122913360596,4114,1,1,0.13473069667816162
177,10,4170,1,1,0.2798903286457062,4170,1,1,0.23099404573440552,18598,0,1781,-0.3171345591545105,4170,1,1,0.2022297978401184
178,4,4584,0,2,-0.018626362085342407,4640,0,11,-0.07228446006774902,4907,0,2283,-0.46026211977005005,9638,0,5,-0.04190796613693237
179,6,7055,0,4,-0.021810822188854218,6356,0,147,-0.1498134434223175,3465,0,183,-0.5648108720779419,6567,0,443,-0.24175354838371277
180,5,4201,1,1,0.13038672506809235,512,0,202,-0.15312230587005615,6842,0,3930,-0.5677638649940491,4327,0,11,-0.07851782441139221
181,5,4218,1,1,0.13408726453781128,2039,0,43,-0.1507498025894165,1141,0,3177,-0.5074632167816162,12485,0,166,-0.2799738049507141
182,15,4264,1,1,0.24533846974372864,4265,1,1,0.0561642050743103,11630,0,1190,-0.3887271285057068,4265,1,1,0.021164119243621826
183,25,4306,1,1,0.14269348978996277,4305,1,1,0.0517084002494812,15535,0,11,-0.14759963750839233,4313,0,2,-0.014708280563354492
184,31,4336,1,1,0.27870863676071167,4358,1,1,0.04963839054107666,11109,0,2241,-0.6966658234596252,4337,1,1,0.11130034923553467
185,40,4416,1,1,0.044612884521484375,4371,1,1,0.0217287540435791,18493,0,564,-0.35979536175727844,4371,1,1,0.0872032642364502
186,13,4451,1,1,0.09221214056015015,4451,1,1,0.0119590163230896,8707,0,515,-0.28102362155914307,4476,0,8,-0.14918652176856995
187,7,4507,1,1,0.3159368336200714,4506,1,1,0.04222846031188965,10357,0,6468,-0.401411235332489,6263,0,13,-0.13728365302085876
188,21,4521,1,1,0.40966737270355225,10936,0,2,-0.01123666763305664,3893,0,48,-0.1353539228439331,4517,1,1,0.08335608243942261
189,26,4555,1,1,0.2157575786113739,4544,1,1,0.09385186433792114,9564,0,1300,-0.501447856426239,4543,1,1,0.06669661402702332
190,6,4606,1,1,0.06495234370231628,4606,1,1,0.026970505714416504,18369,0,2487,-0.42768171429634094,4605,0,2,-0.0007159113883972168
191,7,4644,1,1,0.019593864679336548,4646,1,1,0.011053800582885742,2445,0,667,-0.5898078680038452,4640,0,6,-0.06950673460960388
